,mean_abs_shap
contrast__vib__sp_flatness__std,0.0004363870560838056
contrast__vib__clearance__max,0.0004361545317751439
other__shock__wlfrac2__mean,0.00043490779147105927
contrast__shock__wlabs0__median,0.00043182400249933877
contrast__vib__wlabs1__mean,0.00043078988406288236
other__shock__wlfrac1__max,0.0004300965685681336
other__shock__sp_centroid_hz__max,0.00042991032371146923
other__shock__wl_centroid_m__std,0.0004284115244608606
self__shock__wlfrac0__median,0.00042374070922047784
contrast__shock__rms__median,0.0004198899191938071
contrast__shock__skewness__p90,0.0004161908786937492
contrast__vib__wlfrac0__mean,0.00041393322249123925
other__shock__sp_rolloff95_hz__max,0.0004054445973954081
contrast__shock__std__mean,0.0004007130815197392
contrast__vib__crest__median,0.0003918546537757917
self__vib__impulse__median,0.0003913609478379978
other__shock__sp_centroid_hz__mean,0.0003895768027998972
self__shock__wlfrac3__max,0.0003894193733774152
contrast__vib__skewness__std,0.00038801497923275944
other__shock__crest__std,0.00038638808738361243
self__vib__clearance__mean,0.00038554362937016993
self__vib__wlfrac2__max,0.00038393368794476077
other__shock__kurtosis__mean,0.000379046185016693
contrast__vib__wlfrac1__mean,0.00037422648474548227
self__vib__wlfrac4__max,0.00037315703796808147
contrast__shock__wlfrac2__mean,0.00037275213536834914
contrast__shock__wlabs2__std,0.0003703943314262822
other__shock__sp_entropy__max,0.0003694355495366377
contrast__vib__p2p__p90,0.0003639357692035468
other__shock__zcr__p90,0.000361513276995642
contrast__vib__wlabs2__mean,0.0003611862838128789
self__vib__skewness__max,0.000355962775092883
self__shock__crest__mean,0.000353565507815717
other__shock__clearance__median,0.00035112284703914926
other__shock__sp_flatness__max,0.0003510137191724469
other__vib__wlfrac2__std,0.00035082693803188637
other__shock__clearance__max,0.000350683113268264
contrast__vib__wlabs2__std,0.000350538306433001
contrast__vib__wl_entropy__std,0.0003495226045545506
self__shock__wlfrac0__p90,0.0003479864870863214
contrast__shock__sp_rolloff95_hz__max,0.00034628405660875727
contrast__vib__wl_flatness__median,0.00034569601062280607
other__vib__wl_centroid_m__mean,0.0003448858611529629
contrast__vib__wlfrac3__median,0.00033434092859106843
other__shock__zcr__median,0.0003324050538729158
self__vib__wlfrac1__median,0.0003289227234291488
contrast__vib__wlabs4__p90,0.0003284236260650954
contrast__shock__wlabs4__p90,0.0003265758035064393
other__shock__wlfrac1__p90,0.00032623649008474046
other__vib__sp_centroid_hz__p90,0.00032226777797463805
contrast__shock__wlabs1__max,0.0003216668792798955
contrast__vib__wlabs1__max,0.0003212111870115621
contrast__shock__sp_centroid_hz__mean,0.00031957388839111656
self__vib__sp_entropy__max,0.0003187980415576956
contrast__shock__wlfrac0__mean,0.00031699978131942105
other__vib__wlfrac0__mean,0.000316442422384012
other__vib__impulse__mean,0.0003158253453397786
other__shock__sp_entropy__median,0.0003153641611142382
contrast__vib__wl_entropy__median,0.0003152732874729115
self__vib__sp_rolloff95_hz__median,0.00030943082071707305
contrast__vib__sp_flatness__max,0.0003091418898808992
self__vib__wl_entropy__median,0.00030639742241994795
self__vib__skewness__std,0.00030381246675806003
other__shock__skewness__p90,0.00030266064078731097
contrast__vib__wl_centroid_m__median,0.0003008462622837283
contrast__shock__wlabs2__mean,0.00029874482705999296
other__vib__sp_entropy__mean,0.0002982369076543197
contrast__shock__wlabs2__max,0.0002960955649562046
self__vib__wlfrac4__std,0.00029590654264845804
contrast__shock__wlfrac2__p90,0.00029579659542320805
contrast__shock__p2p__median,0.0002954188467708369
contrast__shock__zcr__p90,0.00029043966173469956
other__vib__wlfrac3__median,0.0002864780953626217
other__vib__skewness__median,0.00028580587605399853
self__vib__crest__median,0.00028512842199072155
other__vib__sp_flatness__max,0.0002827986094787141
self__shock__wlfrac3__std,0.0002810435857380853
self__vib__zcr__mean,0.00027736865370871786
contrast__shock__sp_entropy__median,0.00027688313720954663
contrast__shock__sp_spread_hz__p90,0.0002763145228194868
contrast__shock__wlfrac1__max,0.00027416419517726034
contrast__shock__sp_entropy__p90,0.0002727584796593687
other__shock__skewness__std,0.0002723882720435794
other__vib__skewness__p90,0.00027143998822026685
self__vib__wl_entropy__p90,0.0002696399122740321
other__shock__wlfrac1__median,0.0002671700860431527
contrast__shock__sp_flatness__median,0.0002656501857770043
other__vib__kurtosis__median,0.0002653360013500288
self__vib__shape__mean,0.00026520200641762243
self__shock__skewness__p90,0.00026475867334874284
contrast__vib__sp_centroid_hz__max,0.0002646109958206926
other__shock__impulse__p90,0.0002643080646259469
contrast__shock__sp_spread_hz__mean,0.0002639134874944183
other__vib__sp_centroid_hz__median,0.00026067997822271793
other__shock__zcr__std,0.00025976495664016
self__vib__clearance__median,0.00025840688825567055
contrast__shock__zcr__std,0.00025825383825204163
other__vib__clearance__median,0.0002567954411388774
other__shock__sp_flatness__median,0.0002564713832823399
other__shock__wl_peak_m__max,0.0002545789366382797
self__shock__sp_entropy__median,0.00025318531724628004
other__vib__wlfrac0__p90,0.0002528045242495337
other__shock__clearance__p90,0.0002524152194991352
contrast__vib__shape__mean,0.00024998527167211914
self__shock__wlfrac1__std,0.0002487751221545575
other__vib__shape__median,0.000247673149791609
contrast__vib__wlabs1__p90,0.00024463086592272217
contrast__shock__wlabs3__p90,0.00024449297683584785
contrast__shock__wl_peak_m__mean,0.0002441633022919813
other__shock__crest__max,0.0002430879477600845
contrast__vib__crest__max,0.00024130535788523204
contrast__shock__wl_entropy__p90,0.00023665902122310938
contrast__vib__peak__p90,0.00023613612083079946
other__shock__wlfrac4__p90,0.000234913155816957
contrast__vib__wlfrac3__p90,0.00023345204193490072
other__vib__wlfrac2__p90,0.00023205817844588108
contrast__vib__rms__median,0.00023000762060607904
self__shock__skewness__median,0.0002290445756888847
other__vib__wlfrac1__median,0.00022893755701347722
contrast__vib__wlfrac3__std,0.0002268112380558396
self__vib__sp_entropy__p90,0.00022665932808507862
contrast__vib__sp_spread_hz__median,0.00022450759651689175
other__shock__zcr__mean,0.00022393096846567504
other__vib__wlfrac0__median,0.00022291698289957898
other__shock__sp_centroid_hz__p90,0.00022184659932176915
other__vib__wlfrac4__std,0.00022096764874091944
self__shock__wl_centroid_m__mean,0.00021940651538815645
contrast__shock__crest__median,0.00021781337429192883
contrast__shock__wl_entropy__median,0.00021469474107314946
contrast__shock__wlfrac3__mean,0.00021466419054726966
other__vib__skewness__mean,0.00021442744716322935
self__shock__kurtosis__p90,0.00021390793075697095
self__shock__wl_centroid_m__p90,0.00021389791870353678
contrast__shock__kurtosis__median,0.0002120569900209653
other__shock__wlfrac3__std,0.00021205094257196552
other__vib__shape__p90,0.0002113520324614105
contrast__vib__p2p__max,0.0002109284328750691
contrast__vib__wlabs2__p90,0.00021068798259725992
other__shock__kurtosis__p90,0.00021002702768996664
other__vib__sp_spread_hz__mean,0.00020909611315561704
self__shock__wlfrac4__median,0.00020902032763173996
contrast__vib__shape__p90,0.0002082457121304127
other__shock__skewness__max,0.00020774761308285232
self__shock__wlfrac3__median,0.00020722225267414562
contrast__vib__wlfrac2__median,0.000205891341656274
contrast__vib__p2p__std,0.0002045003696761587
contrast__vib__wl_centroid_m__std,0.00020394546500592702
other__vib__sp_spread_hz__std,0.000203260464103245
other__vib__sp_flatness__std,0.00020179468281091343
other__vib__zcr__p90,0.00020073379892647319
contrast__vib__wl_centroid_m__p90,0.00020052490352377595
contrast__vib__kurtosis__median,0.00019857435784302764
self__shock__shape__max,0.00019737158740819997
other__shock__sp_rolloff95_hz__p90,0.00019732095700185926
self__shock__wlfrac0__mean,0.00019715514764451195
other__shock__sp_centroid_hz__std,0.00019703828665311294
self__vib__shape__median,0.0001955643312333326
other__shock__sp_rolloff95_hz__mean,0.0001950850432560213
self__vib__sp_flatness__p90,0.00019498816816536574
contrast__shock__wlfrac1__std,0.00019497875442360513
contrast__shock__wlabs3__median,0.0001947371775857139
contrast__shock__wlfrac4__p90,0.00019444205675377347
other__shock__sp_entropy__mean,0.0001938935981600659
contrast__shock__sp_rolloff95_hz__std,0.00019345373314484332
contrast__vib__wlabs0__median,0.00019306835097882339
self__shock__kurtosis__std,0.00019181555172858035
contrast__vib__zcr__median,0.00019128169528620932
self__shock__skewness__std,0.00018905106655447588
contrast__vib__zcr__p90,0.00018857055096883131
other__shock__crest__median,0.0001872238472283097
self__shock__sp_centroid_hz__p90,0.00018496726763295916
other__vib__wl_centroid_m__median,0.00018427950392341634
other__shock__wlfrac2__std,0.00018352027203551928
self__vib__wlfrac2__std,0.00018274470734793544
self__shock__sp_centroid_hz__mean,0.00018153226022763098
other__shock__sp_entropy__std,0.00017981311159481146
self__shock__zcr__median,0.00017867225835302666
